,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
11,Bách Khoa Thư Larousse - Thể Thao,"Géraldine Maincent , Alexandre Arlène","An Vy , Tường Ngân",Nxb Thế giới,Nhã Nam,8935235230514,NaN,250.00 gam,Tiếng Việt,Bìa cứng,34 x 20 cm,13/07/2021,98
12,Đồng Dao Cho Bé: Chi Chi Chành Chành - Trò Chơi Dân Dã (Tái Bản 2021),"Hiếu Minh , Vườn Illustration",NaN,NXB Kim Đồng,NXB Kim Đồng,8935244858938,NaN,100.00 gam,Tiếng Việt,Bìa mềm,24 x 16.5 cm,13/07/2021,32
13,Đường Về Tỉnh Thức - What Is Mindfulness?,Tamara Russell,"Nguyễn Duy Khiêm , Thuần Hóa",NXB Dân Trí,Trí Việt,8935086854440,NaN,315.00 gam,Tiếng Việt,Bìa mềm,16.5 x 11.5 x 1 cm,13/07/2021,213
14,Thuật Đọc Tâm (Tái Bản 2021),"Don Richard Riso , Russ Hudson",Hà An,NXB Hồng Đức,Alpha books,8935251417265,NaN,652.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,13/07/2021,552
15,Đầu Tư Bất Động Sản (Tái Bản 2021),David Lindahl,Trần Thăng Long,Nxb Lao động,Alpha books,8935251417302,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,13/07/2021,392
16,Cuộc Phiêu Lưu Của Mũi Tên Xanh (Tái Bản 2021),"Gianni Rodari , Bích Khoa",Hoàng Hải,NXB Kim Đồng,NXB Kim Đồng,8935244857238,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,12/07/2021,228
17,Vượt Lười - Liệu Trình Cho Người Thiếu Động Lực,Andrii Sedniev,Thảo Quyên,NXB Dân Trí,AZ books,1130000094280,NaN,250.00 gam,Tiếng Việt,Bìa mềm,17 x 13 cm,12/07/2021,130
18,Chuyện Xảy Đến Trong Đêm,Marc Levy,Thiên Bình,Nxb Hội Nhà Văn,Nhã Nam,8935235230842,NaN,450.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 cm,12/07/2021,350
19,"Trọn Vẹn, Cảm Nhận, Yêu Thương (Tái Bản 2021)",Thầy Pháp Nhật,NaN,Nxb Lao động,ChiBooks,8938538123156,NaN,220.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 cm,12/07/2021,120
20,Tiếp Thị & Gia Đình - Số 06 (Ngày 15/06/2021),NaN,NaN,NaN,Hoa Mặt trời,8935119600013,NaN,250.00 gam,Tiếng Việt,Bìa mềm,23 x 29 cm,15/06/2021,62
21,Bí Quyết Pha Chế Sinh Tố & Nước Ép Trái Cây (Tái Bản),First News,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086850459,NaN,250.00 gam,Tiếng Việt,Bìa mềm,19 x 26 cm,02/07/2021,128
22,Giáo Dục An Toàn Giao Thông - Dành Cho Trẻ 3-4 Tuổi: Siêu Nhân Xe Bốn Bánh,Nhiều tác giả,NaN,NXB Thanh Niên,Phúc Minh,9786043269208,NaN,100.00 gam,Tiếng Việt,Bìa mềm,24 x 17 cm,08/07/2021,16
23,Giáo Dục An Toàn Giao Thông - Dành Cho Trẻ 4-5 Tuổi: Ai Biết Nhiều Xe Hơn?,Nhiều tác giả,NaN,NXB Thanh Niên,Phúc Minh,9786043340884,NaN,100.00 gam,Tiếng Việt,Bìa mềm,24 x 17 cm,01/07/2021,16
24,"Giáo Dục An Toàn Giao Thông - Dành Cho Trẻ 5-6 Tuổi: Đèn Đỏ Rồi, Dừng Lại Thôi",Nhiều tác giả,NaN,NXB Thanh Niên,Phúc Minh,9786043340921,NaN,100.00 gam,Tiếng Việt,Bìa mềm,24 x 17 cm,01/07/2021,16
25,Giấc Mơ Kỳ Lạ Của Luy-Xiêng,Jean Marc Mathis,"Đặng Minh Quân , Lê Chúc An",Nxb Hà Nội,Nhã Nam,8935235230484,NaN,200.00 gam,Tiếng Việt,Bìa mềm,19 x 14.5 cm,06/07/2021,48
26,"Luy-Xiêng, Cậu Sẽ Bị Ăn Thịt Mất",Jean Marc Mathis,"Đặng Minh Quân , Lê Chúc An",Nxb Hà Nội,Nhã Nam,8935235230460,NaN,200.00 gam,Tiếng Việt,Bìa mềm,19 x 14.5 cm,06/07/2021,48
27,Gió Bụi Đầy Trời - Bìa Cứng,Thiên Sơn,NaN,Nxb Hội Nhà Văn,Nhã Nam,8935235230606,NaN,1000.00 gam,Tiếng Việt,Bìa cứng,24 x 15.5 cm,02/07/2021,440
28,Điều Hay Việc Tốt - Tử Tế,Alison Green,Hoàng Ly,Nxb Trẻ,NXB Trẻ,8934974174141,NaN,200.00 gam,Tiếng Việt,Bìa mềm,24 x 19 cm,02/07/2021,48
29,Và Rồi Chẳng Còn Ai,Agatha Christie,Việt Hà,Nxb Trẻ,NXB Trẻ,8934974174240,NaN,350.00 gam,Tiếng Việt,Bìa mềm,20 x 13 cm,02/07/2021,296
